"","location_name","lat","lng"
"105","69th station chicago, IL",41.7689814,-87.6258266
"106","Cermak-Chinatown station chicago, IL",41.8537353,-87.6311368
"107","Rockwell station chicago, IL",41.9662046,-87.6940615
"108","Logan Square station chicago, IL",41.9297992,-87.7077067
"109","Polk station chicago, IL",41.8715142,-87.6695554
"110","Kedzie-Cermak station chicago, IL",41.8516985,-87.705026
"111","Linden station chicago, IL",42.0736657,-87.6903116
"112","Ashland-Orange station chicago, IL",41.8393878,-87.665232
"113","Kedzie-Lake station chicago, IL",41.8843051,-87.7062705
"114","47th-South Elevated station chicago, IL",41.8097099,-87.5913066
"115","Monroe/State station chicago, IL",41.8807034,-87.6277392
"116","35-Bronzeville-IIT station chicago, IL",41.8320478,-87.6258867
"117","Halsted-Orange station chicago, IL",41.8468233,-87.6480623
"118","King Drive station chicago, IL",41.7802291,-87.6156063
"119","Kedzie-Midway station chicago, IL",41.7864626,-87.7387943
"120","Kedzie-Midway station chicago, IL",41.7860338,-87.7383036
"121","Clinton-Lake station chicago, IL",41.8857074,-87.6417779
"122","Garfield-Dan Ryan station chicago, IL",41.7958088,-87.6312088
"123","Kedzie-Brown station chicago, IL",41.9660945,-87.7087181
"124","Jarvis station chicago, IL",42.0159136,-87.669144
"125","Argyle station chicago, IL",41.9734331,-87.6585659
"126","Wellington station chicago, IL",41.9362367,-87.6534338
"127","Fullerton station chicago, IL",41.9251983,-87.6527796
"128","47th-Dan Ryan station chicago, IL",41.810318,-87.63094
"129","Addison-O'Hare station chicago, IL",41.92791,-87.972657
"130","Central-Evanston station chicago, IL",42.0640547,-87.6980954
"131","Austin-Lake station chicago, IL",41.8873046,-87.7741725
"132","Austin-Lake station chicago, IL",41.8879635,-87.7747552
"133","43rd station chicago, IL",41.8163312,-87.6190347
"134","Jefferson Park station chicago, IL",41.971716,-87.7635101
"135","Kimball station chicago, IL",41.9675567,-87.713665
"136","Loyola station chicago, IL",42.0023762,-87.6612049
"137","Paulina station chicago, IL",41.9437634,-87.6708389
"138","Belmont-North Main station chicago, IL",41.9385501,-87.8601651
"139","Montrose-O'Hare station chicago, IL",41.9614717,-87.7436122
"140","LaSalle station chicago, IL",41.8753038,-87.6321531
"141","Oak Park-Lake station chicago, IL",41.8873046,-87.7741725
"142","California-Lake station chicago, IL",41.8844645,-87.696355
"143","Bryn Mawr station chicago, IL",41.9834946,-87.6587948
"144","Roosevelt station chicago, IL",41.8675516,-87.6266639
"145","Chicago/Milwaukee station chicago, IL",41.896396,-87.655775
"146","Addison-North Main station chicago, IL",41.9474769,-87.6536141
"147","87th station chicago, IL",41.735372,-87.624717
"148","Addison-Brown station chicago, IL",41.9472441,-87.6747255
"149","Chicago/State station chicago, IL",41.8966846,-87.6281338
"150","Irving Park-Brown station chicago, IL",41.9543223,-87.6752715
"151","Western-Brown station chicago, IL",41.9159925,-87.6870457
"152","Western-Brown station chicago, IL",41.9660945,-87.6885605
"153","Harrison station chicago, IL",41.8741534,-87.6275584
"154","Montrose-Brown station chicago, IL",41.9617764,-87.675192
"155","Montrose-Brown station chicago, IL",41.9612734,-87.6794999
"156","Lake/State station chicago, IL",41.8857605,-87.6279711
"157","Conservatory station chicago, IL",41.8848716,-87.7168771
"158","Homan station chicago, IL",41.8954925,-87.7114295
"159","Dempster-Skokie station chicago, IL",42.039388,-87.7522867
"160","Dempster-Skokie station chicago, IL",42.0269613,-87.74754
"161","Oakton-Skokie station chicago, IL",42.0269613,-87.74754
"162","Morgan-Lake station chicago, IL",41.885601,-87.6518406
"163","Cermak-McCormick Place station chicago, IL",41.8526157,-87.6264004
"164","Washington/Wabash station chicago, IL",41.8824565,-87.6261943
